上学|shàngxué|Đi học
两|liǎng|Hai
书|shū|Sách
书店|shūdiàn|Tiệm sách
伞|sǎn|Cái ô
刀|dāo|Dao
刷牙|shuāyá|Đánh răng
勺子|sháozi|Cái muỗng, cái thìa
同学|tóngxué|Bạn học
大象|dàxiàng|Con voi
奶茶|nǎichá|Trà sữa
打|dǎ|Đánh
拖鞋|tuōxié|Dép lê
朋友|péngyǒu|Bạn bè
杯子|bēizi|Cái cốc
桌子|zhuōzi|Cái bàn
梨|lí|Quả lê
椅子|yǐzi|Cái ghế
橙色|chéngsè|Màu cam
汽车|qìchē|Xe ô tô
洗脸|xǐliǎn|Rửa mặt
灰色|huīsè|Màu xám
牛|niú|Con bò
狗|gǒu|Con chó
猪|zhū|Con lợn
猫|māo|Con mèo
生日|shēngrì|Sinh nhật
电影|diànyǐng|Phim
电影院|diànyǐngyuàn|Rạp chiếu phim
电脑|diànnǎo|Máy tính
电视|diànshì|Tivi
白色|báisè|Màu trắng
看|kàn|Xem, nhìn
碗子|wǎnzi|Cái bát
票|piào|Vé
穿|chuān|Mặc, đi
筷|kuài|Đũa
紫色|zǐsè|Màu tím
红色|hóngsè|Màu đỏ
纸|zhǐ|Giấy
绿色|lǜsè|Màu xanh lá
芒果|mángguǒ|Quả xoài
苹果|píngguǒ|Quả táo
草莓|cǎoméi|Quả dâu tây
葡萄|pútao|Quả nho
蓝色|lánsè|Màu xanh nước biển
蛇|shé|Con rắn
蝴蝶|húdié|Con bướm
衣服|yīfu|Quần áo
裤子|kùzi|Quần
西瓜|xīguā|Dưa hấu
谁|shéi|Ai
起床|qǐchuáng|Thức dậy
超市|chāoshì|Siêu thị
跑步|pǎobù|Chạy bộ
路|lù|Con đường
踢|tī|Đá
颜色|yánsè|Màu sắc
马|mǎ|Con ngựa
鸟|niǎo|Con chim
黄色|huángsè|Màu vàng
黑色|hēisè|Màu đen
