会|huì|biết
做|zuò|làm
菜|cài|món ăn
门|mén|cái cửa; lượng từ
语言|yǔyán|ngôn ngữ
读|dú|đọc
学习|xuéxí|học tập
包|bāo|gói, bọc
煮|zhǔ|nấu 
玩|wán|chơi
写|xiě|viết
开|kāi|mở; lái (xe)
骑|qí|cưỡi, đi 
弹|tán|gảy, búng
表演|biǎoyǎn|biểu diễn
做饭|zuò fàn|nấu cơm
怎么|zěnme|thế nào
来自|láizì|đến từ
哪里|nǎlǐ|ở đâu
好吃|hǎochī|ngon (ăn)
好喝|hǎohē|ngon (uống)
好听|hǎotīng|hay(nghe)
好看|hǎokàn|đẹp, hay (nhìn)
好玩|hǎowán|vui, thú vị
国家|guójiā|quốc gia
排球|páiqiú|bóng chuyền
台球|táiqiú|bi-a
乒乓球|pīngpāngqiú|bóng bàn
网球|wǎngqiú|tennis
匹克球|pǐkèqiú|pickleball
保龄球|bǎolíngqiú|bowling
橄榄球|gǎnlǎnqiú|bóng bầu dục
钢琴|gāngqín|đàn piano
吉他|jí tā|đàn ghi-ta
魔术|móshù|ảo thuật
书法|shūfǎ|thư pháp
饭|fàn|cơm; bữa ăn
编程|biānchéng|lập trình
画画儿|huà huàr|vẽ tranh
北宁|Běiníng|Bắc Ninh
北江|Běijiāng|Bắc Giang
河内|Hénèi|Hà Nội
胡志明|Húzhìmíng|Hồ Chí Minh
海防|Hǎifáng|Hải Phòng
海阳|Hǎiyáng|Hải Dương
兴安|Xīng'ān|Hưng Yên
说汉语|shuō Hànyǔ|nói tiếng Hán
写汉字|xiě Hànzì|viết chữ Hán
踢足球|tī zúqiú|đá bóng
打羽毛球|dǎ yǔmáoqiú|đánh cầu lông
打台球|dǎ tái qiú|đánh bi-a
打乒乓球|dǎ pīngpāngqiú|đánh bóng bàn
弹钢琴|tán gāngqín|đánh đàn piano
弹吉他|tán jí tā|đánh đàn ghi-ta
打保龄球|dǎ bǎolíngqiú|đánh bowling
打匹克球|dǎ pǐkèqiú|đánh pickleball
包饺子|bāo jiǎozi|gói sủi cảo
滑雪|huá xuě|trượt tuyết
滑冰|huá bīng|trượt băng
表演魔术|biǎoyǎn móshù|biểu diễn ảo thuật
煮面条|zhǔ miàntiáo|nấu mì
写书法|xiě shūfǎ|viết thư pháp
我会骑摩托车。|wǒ huì qí mótuōchē.|Tôi biết lái xe mô tô (xe máy).
我会骑自行车。|wǒ huì qí zìxíngchē.|Tôi biết đi xe đạp.
我会骑马。|wǒ huì qí mǎ.|Tôi biết cưỡi ngựa.
我会开车。|wǒ huì kāichē.|Tôi biết lái xe ô tô.
我会开火车。|wǒ huì kāi huǒchē.|Tôi biết lái tàu hỏa.
我会开地铁。|wǒ huì kāi dìtiě.|Tôi biết lái tàu điện ngầm (tàu metro).
